City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,64.27,67,20,10.36,ZA,1668881895
1,hilo,19.7297,-155.09,78.24,89,75,3.44,US,1668882061
2,hithadhoo,-0.6,73.0833,80.85,79,25,9.37,MV,1668882061
3,esperance,-33.8667,121.9,57.11,73,47,16.8,AU,1668882062
4,hermanus,-34.4187,19.2345,61.81,75,1,6.49,ZA,1668882062
5,namibe,-15.1961,12.1522,70.99,78,74,11.03,AO,1668881882
6,skjervoy,70.0311,20.9714,24.8,45,1,4.68,NO,1668882063
7,bredasdorp,-34.5322,20.0403,59.41,71,1,7.38,ZA,1668882063
8,mataura,-46.1927,168.8643,52.81,90,92,2.46,NZ,1668882064
9,kahului,20.8947,-156.47,79.84,76,20,18.41,US,1668881883
10,shelbyville,35.4834,-86.4603,46.47,37,0,8.05,US,1668882026
11,ambo,-10.1308,-76.2047,79.12,35,99,8.57,PE,1668882065
12,sitka,57.0531,-135.33,46.29,66,100,27.63,US,1668882065
13,busselton,-33.65,115.3333,52.81,88,22,7.27,AU,1668882066
14,port alfred,-33.5906,26.891,59.18,88,3,13.38,ZA,1668882066
15,zacualtipan,20.65,-98.6,64.83,64,96,6.22,MX,1668882067
16,kruisfontein,-34.0033,24.7314,60.89,86,0,8.28,ZA,1668882067
17,albany,42.6001,-73.9662,38.95,53,25,1.01,US,1668881996
18,bayir,37.2687,28.2167,63.12,97,14,7.25,TR,1668882068
19,kapaa,22.0752,-159.319,75.52,87,20,17.27,US,1668882068
20,pacific grove,36.6177,-121.9166,64.02,54,0,4.61,US,1668882069
21,am timan,11.0297,20.2827,82.11,22,19,3.49,TD,1668882070
22,rikitea,-23.1203,-134.9692,70.32,69,92,10.56,PF,1668882070
23,saint-georges,12.0564,-61.7485,85.68,70,40,23.02,GD,1668882071
24,ushuaia,-54.8,-68.3,49.66,57,40,31.07,AR,1668882071
25,clifton,40.8584,-74.1638,41.76,40,0,13.8,US,1668881855
26,assiniboia,49.6334,-105.9845,19.22,68,99,16.11,CA,1668882072
27,ulaangom,49.9811,92.0667,9.14,84,93,4.76,MN,1668882072
28,khatanga,71.9667,102.5,-35.27,99,100,1.12,RU,1668882073
29,bluff,-46.6,168.3333,51.84,94,59,8.57,NZ,1668882073
30,zaraza,9.3503,-65.3245,86.94,58,79,3.8,VE,1668882074
31,kushima,31.4583,131.2333,59.63,92,100,7.72,JP,1668882074
32,gamba,-2.65,10.0,77.31,86,87,10.89,GA,1668882074
33,qaanaaq,77.484,-69.3632,-6.05,60,50,7.83,GL,1668882075
34,mayumba,-3.432,10.6554,77.99,86,98,10.36,GA,1668882075
35,ossora,59.2353,163.0719,10.72,79,2,6.17,RU,1668882076
36,new norfolk,-42.7826,147.0587,55.92,90,100,2.48,AU,1668882076
