City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,62.11,84,0,2.3,ZA,1667859347
1,mataura,-46.1927,168.8643,65.48,53,78,2.89,NZ,1667859532
2,constitucion,-35.3333,-72.4167,59.61,71,100,12.33,CL,1667859532
3,chuy,-33.6971,-53.4616,60.39,78,4,9.69,UY,1667859533
4,sevojno,43.845,19.8986,46.27,94,33,1.7,RS,1667859533
5,albany,42.6001,-73.9662,57.43,38,1,1.01,US,1667859369
6,hithadhoo,-0.6,73.0833,81.19,78,88,18.14,MV,1667859533
7,severo-kurilsk,50.6789,156.125,34.63,82,86,10.54,RU,1667859534
8,filadelfia,39.9523,-75.1638,73.42,43,0,8.05,US,1667859518
9,busselton,-33.65,115.3333,53.71,88,7,10.69,AU,1667859535
10,cidreira,-30.1811,-50.2056,62.38,81,30,13.56,BR,1667859535
11,khilok,51.3674,110.4676,23.83,78,76,3.51,RU,1667859536
12,punta arenas,-53.15,-70.9167,62.71,51,75,21.85,CL,1667859537
13,ringkobing,56.0901,8.244,54.19,92,62,13.06,DK,1667859538
14,bozoum,6.3193,16.3799,71.46,64,99,2.48,CF,1667859538
15,east london,-33.0153,27.9116,69.6,87,100,11.7,ZA,1667859539
16,benguela,-12.5763,13.4055,75.42,77,27,5.37,AO,1667859540
17,jamestown,42.097,-79.2353,51.39,52,0,8.05,US,1667859341
18,korla,41.7597,86.1469,47.26,38,100,1.36,CN,1667859540
19,luanshya,-13.1367,28.4166,64.8,91,100,1.39,ZM,1667859541
20,rikitea,-23.1203,-134.9692,73.2,92,100,23.47,PF,1667859541
21,lagoa,39.05,-27.9833,62.96,66,100,18.34,PT,1667859541
22,yaan,7.3833,8.5667,77.58,40,92,2.15,NG,1667859542
23,hasaki,35.7333,140.8333,52.21,86,55,8.08,JP,1667859543
24,qaanaaq,77.484,-69.3632,-0.53,96,100,9.04,GL,1667859543
25,thongwa,16.7619,96.5278,77.16,86,3,4.65,MM,1667859543
26,xining,36.6167,101.7667,36.95,68,10,2.82,CN,1667859544
27,yellowknife,62.456,-114.3525,7.32,85,75,4.61,CA,1667859528
28,nikolskoye,59.7035,30.7861,39.09,92,100,8.05,RU,1667859544
29,los llanos de aridane,28.6585,-17.9182,65.95,66,0,9.22,ES,1667859326
30,vaini,-21.2,-175.2,80.76,69,20,8.05,TO,1667859545
31,nara,34.6851,135.8049,53.69,74,23,1.12,JP,1667859546
32,kutum,14.2,24.6667,69.64,25,12,7.56,SD,1667859547
33,longyearbyen,78.2186,15.6401,24.64,93,75,12.66,SJ,1667859547
34,ushuaia,-54.8,-68.3,62.26,48,75,17.27,AR,1667859548
35,itinga,-16.6131,-41.7653,75.13,61,100,5.39,BR,1667859548
36,salalah,17.0151,54.0924,77.09,78,0,4.61,OM,1667859380
37,ribeira grande,38.5167,-28.7,62.78,71,100,4.0,PT,1667859549
38,port alfred,-33.5906,26.891,63.18,91,100,3.0,ZA,1667859549
39,bluff,-46.6,168.3333,65.8,70,71,6.22,NZ,1667859549
40,jiaocheng,24.6774,116.1389,64.72,97,99,2.48,CN,1667859550
41,hobart,-42.8794,147.3294,67.05,70,0,10.36,AU,1667859550
42,nanortalik,60.1432,-45.2371,26.94,89,100,4.38,GL,1667859551
43,victoria,22.2855,114.1577,71.26,93,100,10.0,HK,1667859289
44,arraial do cabo,-22.9661,-42.0278,69.91,72,100,7.4,BR,1667859552
45,hadejia,12.4498,10.0444,76.64,19,8,8.63,NG,1667859552
46,sorkjosen,69.8,20.9333,41.0,75,100,11.5,NO,1667859553
47,rocha,-34.4833,-54.3333,58.98,79,0,9.26,UY,1667859554
48,butaritari,3.0707,172.7902,80.11,75,34,6.71,KI,1667859554
49,pontianak,-0.0333,109.3333,75.18,100,40,3.44,ID,1667859313
50,nobeoka,32.5833,131.6667,55.04,77,0,6.49,JP,1667859555
51,waipawa,-41.4122,175.5153,59.58,62,5,4.9,NZ,1667859555
52,hervey bay,-25.2986,152.8535,70.63,62,52,13.71,AU,1667859555
53,bull savanna,17.8868,-77.5902,78.67,68,35,2.95,JM,1667859556
54,finschhafen,-6.6024,147.8681,81.86,74,98,6.15,PG,1667859556
55,ulverstone,-41.15,146.1667,68.22,61,34,2.55,AU,1667859557
56,lavrentiya,65.5833,-171.0,28.71,96,100,20.74,RU,1667859557
57,cap-haitien,19.7578,-72.2042,80.17,77,26,12.62,HT,1667859558
58,irece,-11.3042,-41.8558,75.07,60,99,13.04,BR,1667859451
59,san vicente,-26.6167,-54.1333,60.78,69,2,3.58,AR,1667859558
60,san roque,36.2107,-5.3842,65.23,77,100,4.61,ES,1667859559
61,castro,-24.7911,-50.0119,55.31,72,11,6.42,BR,1667859559
62,georgetown,5.4112,100.3354,80.24,88,20,2.3,MY,1667859397
63,lahij,13.1667,44.5833,74.43,73,0,3.42,YE,1667859560
64,jackson,42.4165,-122.8345,47.91,79,40,6.91,US,1667859560
65,new norfolk,-42.7826,147.0587,66.7,69,89,2.93,AU,1667859560
66,massaguet,12.4755,15.4365,80.49,37,21,8.25,TD,1667859561
67,tarauaca,-8.1614,-70.7656,88.77,41,24,1.7,BR,1667859561
68,bathsheba,13.2167,-59.5167,83.01,78,75,18.41,BB,1667859562
69,urumqi,43.801,87.6005,34.75,81,97,4.47,CN,1667859562
70,tan an,10.5333,106.4167,77.02,95,93,2.44,VN,1667859562
71,kaitangata,-46.2817,169.8464,60.66,60,59,1.03,NZ,1667859563
72,villa guerrero,18.8667,-99.65,78.42,49,2,3.15,MX,1667859563
73,puerto ayora,-0.7393,-90.3518,73.36,82,87,5.99,EC,1667859564
74,les cayes,18.2,-73.75,80.31,70,60,3.18,HT,1667859564
75,poum,-20.2333,164.0167,78.01,80,98,11.23,NC,1667859564
76,teberda,43.4456,41.7448,37.26,29,90,6.78,RU,1667859565
77,yar-sale,66.8333,70.8333,21.7,94,100,6.8,RU,1667859565
78,kamina,-8.7386,24.9906,60.69,94,99,2.33,CD,1667859566
79,saint-francois,46.4154,3.9054,41.68,93,0,3.44,FR,1667859566
80,matagami,49.7502,-77.6328,30.31,80,100,19.57,CA,1667859455
81,touros,-5.1989,-35.4608,78.28,71,99,11.14,BR,1667859567
82,kapaa,22.0752,-159.319,83.1,71,20,14.97,US,1667859567
83,hay river,60.8156,-115.7999,6.78,66,40,8.05,CA,1667859508
84,moose jaw,50.4001,-105.5344,17.85,93,100,24.16,CA,1667859327
85,atuona,-9.8,-139.0333,76.91,70,74,14.76,PF,1667859319
86,hermanus,-34.4187,19.2345,55.8,86,36,8.72,ZA,1667859568
87,cabedelo,-6.9811,-34.8339,79.47,74,67,10.33,BR,1667859569
88,bundaberg,-24.85,152.35,73.22,71,3,8.01,AU,1667859569
89,puksoozero,62.5903,40.6066,36.36,98,100,9.06,RU,1667859569
90,barrow,71.2906,-156.7887,24.82,80,100,16.11,US,1667859570
91,clyde river,70.4692,-68.5914,10.63,72,75,4.61,CA,1667859570
92,tiksi,71.6872,128.8694,1.27,91,100,18.77,RU,1667859571
93,atambua,-9.1061,124.8925,76.3,82,100,0.83,ID,1667859572
94,vetapalem,15.7833,80.3167,72.37,82,1,6.87,IN,1667859572
95,kodiak,57.79,-152.4072,38.71,81,100,14.97,US,1667859573
96,novoagansk,61.9449,76.6625,15.71,97,99,7.09,RU,1667859573
97,saint-philippe,-21.3585,55.7679,71.19,80,71,9.6,RE,1667859574
98,saint george,37.1041,-113.5841,72.19,29,0,23.02,US,1667859558
99,sao miguel do araguaia,-13.275,-50.1628,80.26,57,99,4.65,BR,1667859574
100,ancud,-41.8697,-73.8203,55.06,89,78,6.85,CL,1667859576
101,ozernovskiy,51.5,156.5167,37.44,74,100,19.91,RU,1667859576
102,portland,45.5234,-122.6762,44.64,91,100,13.8,US,1667859577
103,zonguldak,41.25,31.8333,50.49,94,100,2.51,TR,1667859577
104,avera,33.194,-82.5271,81.37,59,14,4.72,US,1667859578
105,port hedland,-20.3167,118.5667,69.85,64,5,12.66,AU,1667859458
106,bredasdorp,-34.5322,20.0403,59.09,85,41,4.79,ZA,1667859578
107,quatre cocos,-20.2078,57.7625,72.09,77,0,8.63,MU,1667859579
108,ternate,0.8,127.4,81.16,78,96,4.16,ID,1667859579
109,bambous virieux,-20.3428,57.7575,72.21,83,20,4.61,MU,1667859580
110,faya,18.3851,42.4509,59.11,83,17,3.11,SA,1667859580
111,la union,-5.4,-80.75,78.13,50,14,17.27,PE,1667859581
112,kinkala,-4.3614,14.7644,72.63,86,53,1.52,CG,1667859581
113,codrington,-38.2667,141.9667,66.13,80,2,9.6,AU,1667859581
114,rio grande,-32.035,-52.0986,64.51,74,2,15.3,BR,1667859582
115,luderitz,-26.6481,15.1594,62.38,85,18,8.03,NA,1667859582
116,nome,64.5011,-165.4064,30.27,93,100,29.93,US,1667859583
117,cockburn town,21.4612,-71.1419,80.2,74,76,11.01,TC,1667859584
118,ardakan,32.31,54.0175,55.0,38,3,10.42,IR,1667859584
